仓库,仓库类型,货主,货品ID,货品编号,货品名称,货品件数,空盒子库存,空盒子货品编码,空盒子货品名称,平均库龄,周转天数,同步时间
武清仓,维修库位,智能内容,500778,9787510687310,学而思秘籍小学语文阅读与写作 2级（智能教辅）,30,0,,,613.0,9.0,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500779,9787510687303,学而思秘籍小学语文阅读与写作 1级（智能教辅）,17,51,HZ9787510687303,(盒子)学而思秘籍小学语文阅读与写作 1级（智能教辅）,613.0,3.87,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500780,9787510686245,学而思秘籍小学数学思维培养12级（智能教辅）,113,213,HZ9787510686245,(盒子)学而思秘籍小学数学思维培养12级（智能教辅）,613.0,34.01,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500781,9787510686238,学而思秘籍小学数学思维培养11级（智能教辅）,188,400,HZ9787510686238,(盒子)学而思秘籍小学数学思维培养11级（智能教辅）,613.0,41.88,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500782,9787510686221,学而思秘籍小学数学思维培养10级（智能教辅）,11,400,HZ9787510686221,(盒子)学而思秘籍小学数学思维培养10级（智能教辅）,613.0,4.44,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500783,9787510686214,学而思秘籍小学数学思维培养9级（智能教辅）,11,0,,,613.0,2.84,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500784,9787510686207,学而思秘籍小学数学思维培养8级（智能教辅）,23,0,,,613.0,2.39,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500786,9787510686184,学而思秘籍小学数学思维培养6级（智能教辅）,2,50,HZ9787510686184,(盒子)学而思秘籍小学数学思维培养6级（智能教辅2024）,613.0,0.3,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500787,9787510686177,学而思秘籍小学数学思维培养5级（智能教辅）,61,350,HZ9787510686177,(盒子)学而思秘籍小学数学思维培养5级（智能教辅2024）,613.0,11.88,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500788,9787510686160,学而思秘籍小学数学思维培养4级（智能教辅）,5,40,HZ9787510686160,(盒子)学而思秘籍小学数学思维培养4级（智能教辅2024）,613.0,0.93,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500791,9787510686146,学而思秘籍小学数学思维培养2级（智能教辅）,11,220,HZ9787510686146,(盒子)学而思秘籍小学数学思维培养2级（智能教辅2024）,570.64,2.01,2026-07-15 17:57:35
武清仓,维修库位,智能内容,500883,2020042118303,学而思大语文分级阅读·第三学段第二季 5-6年级（全八册）,26,50,HZ2020042118303,(盒子)学而思大语文分级阅读·第三学段第二季 5-6年级（全八册）,583.5,12.51,2026-07-15 17:57:35
武清仓,维修库位,智能内容,504576,2022092105,学而思秘籍小学数学计算专项突破教程+练习（五年级）（2022升级版）,2,0,,,578.0,0.87,2026-07-15 17:57:35
武清仓,维修库位,智能内容,504577,2022092104,学而思秘籍小学数学计算专项突破教程+练习（四年级）（2022升级版）,2,0,,,611.5,0.81,2026-07-15 17:57:35
武清仓,维修库位,智能内容,504578,2022092103,学而思秘籍小学数学计算专项突破教程+练习（三年级）（2022升级版）,1,0,,,611.0,0.36,2026-07-15 17:57:35
武清仓,维修库位,智能内容,504580,2022092101,学而思秘籍小学数学计算专项突破教程+练习（一年级）（2022升级版）,2,0,,,611.0,1.07,2026-07-15 17:57:35
武清仓,维修库位,智能内容,504678,9787510685057,思维创新大通关数学六年级（智能教辅）,19,0,,,613.0,8.59,2026-07-15 17:57:35
武清仓,维修库位,智能内容,504679,9787510685040,思维创新大通关数学五年级（智能教辅）,7,0,,,613.0,10.5,2026-07-15 17:57:35
武清仓,维修库位,智能内容,504680,9787510685033,思维创新大通关数学四年级（智能教辅）,6,0,,,613.0,30.0,2026-07-15 17:57:35
武清仓,维修库位,智能内容,504681,9787510685026,思维创新大通关数学三年级（智能教辅）,7,0,,,613.0,5.48,2026-07-15 17:57:35
武清仓,维修库位,智能内容,504683,9787510685002,思维创新大通关数学一年级（智能教辅）,2,0,,,613.0,1.8,2026-07-15 17:57:35
武清仓,维修库位,智能内容,519724,13089390,学而思秘籍·小学数学行程专项突破+练习（五年级）,2,0,,,218.0,6.67,2026-07-15 17:57:35
武清仓,维修库位,智能内容,519725,13089392,学而思秘籍·小学数学行程专项突破+练习（六年级）,2,0,,,231.0,5.0,2026-07-15 17:57:35
武清仓,维修库位,智能内容,520119,2020080711471,学而思大语文分级阅读第二学段第三季（适用3-4年级）,1,0,,,613.0,1.91,2026-07-15 17:57:35
武清仓,维修库位,智能内容,530622,9783942056595,Reading A-Z Stage 2,2,106,HZ9783942056595,(盒子)Reading A-Z Stage 2,578.0,1.75,2026-07-15 17:57:35
武清仓,维修库位,智能内容,530623,9783942056601,Reading A-Z Stage 3,2,192,HZ9783942056601,(盒子)Reading A-Z Stage 3,571.0,0.23,2026-07-15 17:57:35
武清仓,维修库位,智能内容,530624,9783942056618,Reading A-Z Stage 4,1,0,,,578.0,15.0,2026-07-15 17:57:35
武清仓,维修库位,智能内容,530629,9783942056663,Reading A-Z Stage 9,1,167,HZ9783942056663,(盒子)Reading A-Z Stage 9,578.0,0.15,2026-07-15 17:57:35
武清仓,维修库位,智能内容,531647,9787230043205,学而思秘籍. 高中化学思维突破 2级,1,0,,,611.0,0.74,2026-07-15 17:57:35
武清仓,维修库位,智能内容,531648,9787230043212,学而思秘籍. 高中化学思维突破 3级,1,0,,,564.0,2.14,2026-07-15 17:57:35
武清仓,维修库位,智能内容,531649,9787230043229,学而思秘籍. 高中物理思维突破 4级,6,0,,,523.17,3.6,2026-07-15 17:57:35
武清仓,维修库位,智能内容,531650,9787230043236,学而思秘籍. 高中物理思维突破 3级,5,0,,,611.0,10.23,2026-07-15 17:57:35
武清仓,维修库位,智能内容,531680,9787501259007,我的Highlights：美国科学分级图书馆 启蒙级,23,0,,,123.78,14.79,2026-07-15 17:57:35
武清仓,维修库位,智能内容,531683,9787501259014,我的Highlights：美国科学分级图书馆（提高级）全50册 适用于小学3-4年级,58,0,,,613.0,15.22,2026-07-15 17:57:35
武清仓,维修库位,智能内容,531691,9787501260041,我的Highlights：美国科学分级图书馆（进阶级）全50册 适用于小学5-6年级,19,0,,,613.0,28.03,2026-07-15 17:57:35
武清仓,维修库位,智能内容,531693,9787501260119,我的hightlights：美国科学分级图书馆（飞跃级）全50册,29,0,,,613.0,8.21,2026-07-15 17:57:35
武清仓,维修库位,智能内容,531912,9787507557183,基础天天练 3级 下,1,0,,,578.0,1.2,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532169,9787510647406A,学而思秘籍·小学数学思维培养练习·9级（2022）,7,0,,,523.71,5.48,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532181,9787510647468A,学而思秘籍·小学数学思维培养教程·1级（2022）,2,0,,,471.5,1.33,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532182,9787510647475,学而思秘籍-小学数学思维培养教程8级,1,0,,,456.0,2.73,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532187,9787510647499A,学而思秘籍·小学数学思维培养教程·10级（2022）,3,0,,,576.0,0.86,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532207,9787510647604,学而思秘籍-小学数学思维培养教程7级,1,0,,,246.0,6.43,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532249,9787510651977D01A,ABCtime美国小学同步阅读第十级（2022）,22,0,,,613.0,29.55,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532255,9787510652035D01A,ABCtime美国小学同步阅读第九级（2022）,28,0,,,613.0,34.05,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532279,9787510652899D01A,ABCtime美国小学同步阅读第八级（2022）,20,0,,,613.0,18.95,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532283,9787510653100D01A,ABCtime美国小学同步阅读第七级（2022）,22,0,,,613.0,17.68,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532290,9787510657542D01A,ABCtime美国小学同步阅读第六级（2022）,8,0,,,613.0,24.0,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532321,9787510659997D01A,ABCtime美国小学同步阅读第五级（2022）,11,0,,,613.0,21.06,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532329,9787510660016D01A,ABCtime美国小学同步阅读第三级（2022）,7,0,,,613.0,6.36,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532334,9787510660023D01A,ABCtime美国小学同步阅读第二级（2022）,8,0,,,613.0,4.53,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532343,9787510660030D01A,ABCtime美国小学同步阅读第一级（2022）,23,0,,,613.0,13.53,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532721,9787510675225A,摩比爱语文·飞跃篇（全6册）（2022）,1,0,,,607.0,0.46,2026-07-15 17:57:35
武清仓,维修库位,智能内容,532741,9787510675249A,摩比爱语文·萌芽篇（全4册）（2022）,2,0,,,599.5,1.3,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533009,9787510684043,学前七大能力课堂 思维启蒙第1课 3-4岁 1-3（2022）,1,0,,,611.0,2.57,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533016,9787510684074,学前七大能力课堂 思维启蒙第1课 4-5岁 4-6（2022）,1,0,,,611.0,2.09,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533108,9787510686535,学而思秘籍 初中数学思维提升 3级（智能教辅）,9,0,,,611.0,8.8,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533110,9787510686542,学而思秘籍 初中数学思维提升 4级（智能教辅）,6,0,,,611.0,21.6,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533111,9787510686559,学而思秘籍 初中数学思维提升 5级（智能教辅）,24,0,,,613.0,31.76,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533112,9787510686566,学而思秘籍 初中数学思维提升 6级（智能教辅）,17,0,,,613.0,12.54,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533114,9787510686580,学而思秘籍 高中数学思维突破 2级（智能教辅）,1,0,,,613.0,0.23,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533115,9787510686597,学而思秘籍 高中数学思维突破 3级（智能教辅）,6,0,,,611.0,4.66,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533129,9787510686825,小学数学周周学三年级下册,9,0,,,611.0,13.28,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533131,9787510686832,小学数学周周学四年级下册,7,0,,,578.0,9.26,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533132,9787510686849,小学数学周周学五年级下册,38,0,,,611.0,69.8,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533133,9787510686856,小学数学周周学六年级下册,4,0,,,613.0,4.62,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533134,9787510686948,初中数学周周学七年级下册RJ,5,0,,,456.0,34.62,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533152,9787510687242,学而思秘籍初中语文阅读与写作 1级（智能教辅）,3,0,,,611.0,30.0,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533153,9787510687259,学而思秘籍初中语文阅读与写作 2级（智能教辅）,14,0,,,556.43,17.26,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533154,9787510687266,学而思秘籍初中语文阅读与写作 3级（智能教辅）,14,0,,,565.43,25.71,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533155,9787510687273,学而思秘籍初中语文阅读与写作 4级（智能教辅）,3,0,,,569.67,3.51,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533156,9787510687280,学而思秘籍初中语文阅读与写作 5级（智能教辅）,28,0,,,529.82,120.0,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533157,9787510687297,学而思秘籍初中语文阅读与写作 6级（智能教辅）,11,0,,,611.0,58.24,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533167,9787510688065,初中数学周周学七年级上册BS,6,0,,,289.83,4.22,2026-07-15 17:57:35
武清仓,维修库位,智能内容,533169,9787510688089,初中物理周周学八年级上册SK,1,0,,,574.0,9.0,2026-07-15 17:57:35
